Place,Player,Time (seconds),Date Submitted
1,max2842,12340.946,2025-10-29T17:56:51Z
2,yujene,12768.513,2023-12-10T20:42:00Z
3,TGH,12776.316,2019-12-26T10:06:44Z
4,Kriog16,14256.778,2024-01-13T12:29:34Z
5,Clantis,15145.147,2021-10-13T03:06:32Z
6,Chaikitty,16216.742,2019-11-30T06:18:46Z
7,Rickfernello,17711.467,2023-12-10T20:48:44Z
8,CyberGamer1539,18276.309,2020-12-10T09:31:17Z
9,Finatinho,18667.683,2024-10-06T17:17:07Z
10,1up_mu,18721.233,2025-06-04T12:42:20Z
11,hunyjoa,19085.73,2021-05-22T12:41:59Z
12,AnsoWizard,20544.058,2025-02-10T05:34:46Z
13,MT_Steve,20823.3,2023-12-10T20:51:40Z
14,myy0x0,23742.642,2023-12-10T20:49:28Z
15,Zechiman,25232.76,2023-12-10T20:50:41Z
16,Evansfight,31913.726,2020-06-11T23:47:49Z
17,Unnamed_Player1,33108.282,2023-12-10T20:48:38Z
18,pisgood,34778.566,2020-11-15T03:36:00Z
